T_amb,T_suc,T_dis,P_suc,P_dis,T_evap,T_cond,m_dot,W_dot
34.12074,0.45488,116.137605,572.8479583,3336.008457,-9.991291308,53.63639287,143.376915,3660.580728
34.25009167,1.431363333,75.22660167,570.007915,1678.562063,-10.13504027,25.48075931,155.4862967,2423.622617
34.13291667,0.376808333,86.887715,572.7600717,2121.546488,-9.995731562,34.56591663,153.1817567,2800.362418
34.11331667,-0.034123333,100.6427483,576.0400233,2723.73144,-9.830369876,44.84427179,150.0183617,3222.729003
34.10116,-4.84691,78.61081667,482.2131983,1637.839772,-14.87458996,24.5581108,130.57281,2345.600077
34.09692167,9.848265,67.78992,767.37979,1807.226155,-1.224516352,28.28938776,216.0457217,2543.131658
33.957045,9.557005,76.21130667,769.8241367,2135.361943,-1.125687495,34.82519996,213.3910967,2870.108907
33.99839167,8.968658333,89.63480833,771.4169483,2715.804787,-1.061415092,44.72084036,207.9432717,3385.39767
34.09922667,9.676073333,103.2303183,774.5243167,3267.895648,-0.936316046,52.72366891,201.9893433,3864.634292
34.27896,5.455258333,68.88001,679.6114017,1745.42959,-4.942218377,26.95989247,189.6906017,2476.505585
34.11230167,4.564115,79.23079167,680.5009367,2124.554037,-4.902763993,34.62246978,188.6789267,2842.58082
34.12520333,5.23341,94.10941667,684.279,2716.684158,-4.735625927,44.73454728,181.7771983,3326.654687
34.14692333,8.30133,96.383385,737.0791083,2896.954227,-2.469832833,47.4751371,194.2834217,3510.95534
34.31672167,5.437868333,108.6228833,670.04627,3266.443058,-5.368961236,52.70404242,170.94178,3746.743303
34.233005,15.44788833,82.21276333,925.1514383,2631.58545,4.718814001,43.39203759,253.2942,3381.056327
34.24020833,15.138095,100.4045067,917.12416,3373.53159,4.435694183,54.13298521,234.5665567,4071.456647
34.34442833,6.002508333,81.26251667,682.9839583,2162.27209,-4.792838492,35.32661535,182.6414383,2867.304262
34.23001,15.50378833,92.96214333,924.4050383,3060.203893,4.692566914,49.84568968,244.4811083,3793.468438
34.150105,14.57327667,66.65347833,927.5747,2065.166595,4.803917944,33.49436299,266.1831017,2756.746077
34.236785,15.15534667,73.63093667,926.091535,2314.701368,4.751849723,38.08084605,262.5378683,3040.228632
34.21680333,14.08783,102.02151,881.34587,3360.721847,3.150602929,53.96394683,224.0868017,4035.786895
34.23434,14.25424667,88.20456,891.31531,2811.903433,3.51258075,46.19899417,236.9467417,3544.37545
34.27691333,-7.529665,86.437985,432.6085267,1742.970175,-17.85140745,26.90625171,112.43008,2382.053772
34.23806333,-7.025341667,94.56640167,433.3041033,1995.857893,-17.80790351,32.14634285,110.38092,2561.336803
34.27681167,-1.581283333,78.43674833,528.1191917,1764.460273,-12.32131721,27.37304645,141.3370167,2465.214215
34.25329833,-12.65228333,97.048305,347.8574467,1708.507605,-23.60678953,26.14854831,87.06014,2280.678923
34.24422667,-1.632498333,84.71895667,530.352195,1971.768057,-12.20150173,31.66952567,139.6681483,2633.598972
34.25127333,-12.65768667,105.1164117,349.44746,1998.51781,-23.48937043,32.19872446,85.65576,2464.433793
34.24943667,3.502066667,73.91915833,636.8526917,1850.395143,-6.886646142,29.19794423,173.541565,2564.904108
34.18214167,4.331311667,78.56044,638.241905,1976.816258,-6.821939977,31.76980906,172.084195,2688.996728
34.25174833,9.672608333,72.74186,768.0918883,1990.342277,-1.195700551,32.03755587,211.2869017,2722.967655
34.24678667,10.53834,79.23297167,779.7984367,2296.66596,-0.724851337,37.76227894,210.6287533,3007.953962
34.21891167,-7.225028333,109.9088533,438.1562783,2604.739482,-17.50590752,42.96162318,108.0298767,2955.101435
34.20373333,-7.178181667,130.8528967,434.53429,3377.434195,-17.73109371,54.18438411,101.126815,3399.00624
34.25123,-2.484543333,102.554905,531.5688767,2618.911472,-12.13638025,43.18925974,135.6205433,3108.445965
34.269775,-1.623708333,120.6088867,530.5839833,3370.483555,-12.18908676,54.09280886,128.689215,3599.547933
34.25505333,-12.43518667,137.7251617,373.1099983,3323.942997,-21.78867629,53.4757841,84.12485167,3204.467058
34.22328833,3.943161667,95.133365,640.0442817,2634.645477,-6.738148653,43.44088457,166.16091,3230.397447
34.25931,3.673118333,111.5989917,641.541665,3369.63516,-6.668672239,54.08162103,159.97472,3773.013122
34.18497667,9.584611667,88.622705,775.9086767,2641.206873,-0.880705391,43.54547741,205.5826817,3323.157007
34.268915,9.633158333,105.2784983,765.1851567,3374.657747,-1.313451765,54.14782195,194.0580817,3931.962392
34.35019667,14.49873833,82.167835,920.42602,2630.32775,4.552375015,43.37194841,251.1581383,3372.96945
34.24891,15.103595,100.1755183,912.1595717,3369.853272,4.259658794,54.08449749,236.1118633,4056.84494
